MobilePhoneList [2009-12-01 00:00:03] By http://ke-tai.org/
"連番","メーカ名","機種名","機種略名","ユーザエージェント","タイプ１","タイプ２","ブラウザ幅(x)","ブラウザ高さ(y)","表示カラー数","ブラウザキャッシュ","GIF","JPG","PNG","Flash","Flashバージョン","Flashワークメモリ","Javaアプリ","BREW","HTML","SSL","ログイン","クッキー","CSS","GPS","発売日","備考","更新状況メモ","更新日"
"66","DoCoMo","N504iS","N504iS","DoCoMo/1.0/N504iS","mova","4.0","160","180","65536","10","1","1","0","0","","","1","0","1","1","1","0","0","0","2002-11","","","2008-01-18 16:58:15"
"67","DoCoMo","SO504i","SO504i","DoCoMo/1.0/SO504i","mova","4.0","120","112","65536","10","1","1","0","0","","","1","0","1","1","1","0","0","0","2002-06","","","2008-01-18 17:00:16"
"68","DoCoMo","P504i","P504i","DoCoMo/1.0/P504i","mova","4.0","132","144","65536","10","1","1","0","0","","","1","0","1","1","1","0","0","0","2002-06","","","2008-01-18 17:01:57"
"69","DoCoMo","P504iS","P504iS","DoCoMo/1.0/P504iS","mova","4.0","132","144","65536","10","1","1","0","0","","","1","0","1","1","1","0","0","0","2002-11","","","2009-10-29 21:28:22"
"70","DoCoMo","D251i","D251i","DoCoMo/1.0/D251i","mova","4.0","132","144","262144","10","1","1","0","0","","","0","0","1","1","1","0","0","0","2002-07","","","2008-01-18 17:09:45"
"71","DoCoMo","D251iS","D251iS","DoCoMo/1.0/D251iS","mova","4.0","132","144","262144","10","1","1","0","0","","","0","0","1","1","1","0","0","0","2003-01","","","2008-01-18 17:11:05"
"72","DoCoMo","F251i","F251i","DoCoMo/1.0/F251i","mova","4.0","132","140","65536","10","1","1","0","0","","","0","0","1","1","1","0","0","0","2002-07","","","2008-01-18 17:12:05"
"73","DoCoMo","N251i","N251i","DoCoMo/1.0/N251i","mova","4.0","132","140","65536","10","1","1","0","0","","","0","0","1","1","1","0","0","0","2002-10","","","2008-01-18 17:13:01"
"74","DoCoMo","N251iS","N251iS","DoCoMo/1.0/N251iS","mova","4.0","132","140","65536","10","1","1","0","0","","","0","0","1","1","1","0","0","0","2003-04","","","2008-01-18 17:14:22"
"75","DoCoMo","P251iS","P251iS","DoCoMo/1.0/P251iS","mova","4.0","132","144","65536","10","1","1","0","0","","","0","0","1","1","1","0","0","0","2003-01","","","2008-01-18 17:15:25"
"76","DoCoMo","F671iS","F671iS","DoCoMo/1.0/F671iS","mova","4.0","160","120","65536","10","1","1","0","0","","","0","0","1","1","1","0","0","0","2002-09","","","2008-01-22 21:36:28"
"77","DoCoMo","F212i","F212i","DoCoMo/1.0/F212i","mova","4.0","132","136","65536","10","1","1","0","0","","","0","0","1","1","1","0","0","0","2002-11","","","2008-01-22 21:37:54"
"78","DoCoMo","SO212i","SO212i","DoCoMo/1.0/SO212i","mova","4.0","120","112","65536","10","1","1","0","0","","","0","0","1","1","1","0","0","0","2002-11","","","2008-01-22 21:38:49"
"79","DoCoMo","F661i","F661i","DoCoMo/1.0/F661i","mova","4.0","132","136","65536","10","1","1","0","0","","","0","0","1","1","1","0","0","0","2003-04","","","2008-01-22 21:39:58"
"80","DoCoMo","F672i","F672i","DoCoMo/1.0/F672i","mova","4.0","160","120","65536","10","1","1","0","0","","","0","0","1","1","1","0","0","0","2003-09","","","2009-11-28 16:44:56"
"81","DoCoMo","SO213i （premini）","SO213i","DoCoMo/1.0/SO213i","mova","4.0","120","112","65536","10","1","1","0","0","","","0","0","1","1","1","0","0","0","2004-07","","","2008-01-22 21:50:55"
